,country,belief_in_cc_mean,policy_support_mean,share_sm_rate,mean_wept,best_intv_bcc,best_intv_policy,best_intv_share,best_intv_wept
46,spain,82.94,74.39,53.9,67.95,CollectAction,CollectAction,CollectAction,FutureSelfCont
47,srilanka,85.46,78.58,64.13,57.08,Letter2Future,Letter2Future,NegativeEmotions,Control
48,sudan,76.94,74.01,66.9,48.35,NegativeEmotions,NegativeEmotions,DynamicNorm,CollectAction
49,sweden,73.92,64.71,52.71,51.79,PsychDistance,PsychDistance,DynamicNorm,SciConsens
50,switzerland,79.17,68.19,25.77,61.37,CollectAction,PsychDistance,Identity-Social-Norms-Intervention,Control
51,taiwan,79.88,78.52,87.5,14.02,BindingMoral,Identity-Social-Norms-Intervention,DynamicNorm,FutureSelfCont
52,tanzania,87.78,72.56,82.02,50.72,DynamicNorm,SystemJust,BindingMoral,DynamicNorm
53,thailand,77.2,71.81,79.91,69.84,SystemJust,CollectAction,DynamicNorm,CollectAction
54,turkey,89.08,81.03,48.14,65.17,DynamicNorm,BindingMoral,NegativeEmotions,SciConsens
55,uganda,89.19,80.5,91.73,61.82,PsychDistance,DynamicNorm,DynamicNorm,CollectAction
56,uk,78.65,71.13,54.32,57.49,FutureSelfCont,FutureSelfCont,Letter2Future,BindingMoral
57,ukraine,82.03,76.69,32.91,57.96,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont
58,unitedarabemirates,77.11,69.16,82.02,72.86,CollectAction,CollectAction,BindingMoral,NegativeEmotions
59,uruguay,87.56,76.73,67.7,62.5,FutureSelfCont,FutureSelfCont,NegativeEmotions,FutureSelfCont
60,usa,70.62,65.45,60.47,59.82,PsychDistance,Letter2Future,Letter2Future,DynamicNorm
61,venezuela,84.21,77.4,66.67,73.75,BindingMoral,FutureSelfCont,Letter2Future,SystemJust
62,vietnam,87.71,75.96,80.06,57.47,FutureSelfCont,FutureSelfCont,CollectAction,Control
