alpha3,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,wept_mean,wept_std,share_social_media_mean,share_social_media_entropy,alpha2,country_standard,country,best_intv_bcc,best_intv_policy,best_intv_share,best_intv_wept,belief_cc_mean_rank,belief_cc_std_rank,policy_support_mean_rank,policy_support_std_rank,wept_mean_rank,wept_std_rank,share_social_media_mean_rank,share_social_media_entropy_rank
ECU,85.72074729596854,20.245915123094907,73.37520814170145,17.845356442566086,4.418262150220913,3.4051006225602163,0.8893058161350844,0.5020062820647604,EC,Ecuador,ecuador,PsychDistance,PsychDistance,NegativeEmotions,SystemJust,19.0,38.0,25.0,29.0,47.0,24.0,4.0,60.0
ESP,82.94255514705883,23.576694619616216,74.38596560846561,19.480415733872128,5.435661764705882,3.2296246586919004,0.5389830508474577,0.9956106822144285,ES,Spain,spain,CollectAction,CollectAction,CollectAction,FutureSelfCont,28.0,22.0,22.0,16.0,15.0,51.0,36.0,5.0
FIN,73.83640491452991,25.470808045954534,62.842540962621605,20.660363998080797,3.5744,3.501554233662822,0.3473895582329317,0.9317150777431937,FI,Finland,finland,PsychDistance,SystemJust,PsychDistance,PluralIgnorance,58.0,9.0,60.0,7.0,58.0,10.0,46.0,19.0
FRA,81.5709939148073,20.17534870120076,69.55801011483763,17.319698475067902,5.116216216216216,3.447864456572074,0.6423777564717162,0.94069175494887,FR,France,france,CollectAction,CollectAction,Letter2Future,SystemJust,31.0,39.0,41.0,35.0,23.0,17.0,30.0,13.0
GBR,78.65260891590678,22.659374885010934,71.12546117546117,18.970807459624176,4.598987341772152,3.45739724819927,0.5431918008784773,0.9946104988737807,GB,United Kingdom,uk,FutureSelfCont,FutureSelfCont,Letter2Future,BindingMoral,40.0,26.0,36.0,22.0,38.0,16.0,35.0,6.0
GHA,89.20833333333333,15.380734656070915,77.55724776500638,15.248521188673449,4.986590038314176,3.4398885539317456,0.8404494382022472,0.6332332708362128,GH,Ghana,ghana,PsychDistance,BindingMoral,Identity-Social-Norms-Intervention,SciConsens,3.0,54.0,8.0,56.0,28.0,20.0,8.0,56.0
GMB,87.43583650190114,17.47046607070067,76.52664072039072,16.830486345027804,3.846299810246679,3.4719271460763044,0.880184331797235,0.5288307770228371,GM,Gambia,gambia,Control,Control,CollectAction,PluralIgnorance,14.0,47.0,14.0,44.0,56.0,12.0,5.0,59.0
GRC,76.36661073825503,24.46644574344889,69.35871882086168,17.40711489189116,5.030201342281879,3.4111671222418503,0.6606741573033708,0.9241721213144836,GR,Greece,greece,FutureSelfCont,FutureSelfCont,Letter2Future,PluralIgnorance,46.0,17.0,42.0,34.0,25.0,22.0,27.0,21.0
IND,86.85041182170544,13.1979427050744,77.94296903839054,12.053321506950011,2.6497093023255816,3.2504797410696202,0.7983606557377049,0.725194691973483,IN,India,india,NegativeEmotions,SystemJust,NegativeEmotions,Letter2Future,16.0,59.0,7.0,62.0,62.0,49.0,16.0,43.0
IRL,81.53652058432935,21.59447392508029,71.70461540083055,17.244446425318426,2.9814077025232404,3.330975614989303,0.6484517304189436,0.9354431958052403,IE,Ireland,ireland,PsychDistance,PluralIgnorance,NegativeEmotions,DynamicNorm,32.0,34.0,32.0,37.0,61.0,42.0,28.0,18.0
ISR,69.19671242774567,28.22804283715328,66.97779069900994,18.99135663748322,4.574421965317919,3.358581301217108,0.3247863247863248,0.9095106630291534,IL,Israel,israel,CollectAction,CollectAction,BindingMoral,SciConsens,62.0,3.0,50.0,21.0,42.0,36.0,49.0,25.0
ITA,88.06518308080808,17.24663548257086,73.11892598289052,15.784574153285783,5.73169191919192,3.0711677624195635,0.5679845708775313,0.9866226114863712,IT,Italy,italy,PsychDistance,PsychDistance,PsychDistance,PluralIgnorance,8.0,48.0,26.0,52.0,7.0,59.0,34.0,8.0
JPN,74.97766323024055,22.64048339470541,58.511907772304326,17.022507226271195,4.9718213058419245,3.515914366597385,0.23429179978700745,0.7854181734990564,JP,Japan,japan,FutureSelfCont,Letter2Future,CollectAction,Control,54.0,27.0,63.0,42.0,30.0,8.0,58.0,39.0
KEN,88.22555012224939,14.893752021156462,73.48321078431373,17.040063834695754,5.36919315403423,3.1751377281154327,0.9342857142857143,0.3497227206118023,KE,Kenya,kenya,Letter2Future,CollectAction,BindingMoral,BindingMoral,7.0,56.0,24.0,40.0,17.0,54.0,1.0,63.0
KOR,82.45696400625978,18.35257776219764,71.56764404449444,15.869905706934126,5.594679186228482,3.3052684052544063,0.7794486215538847,0.7611730265714697,KR,South Korea,southkorea,PsychDistance,CollectAction,CollectAction,PluralIgnorance,29.0,44.0,33.0,51.0,10.0,43.0,17.0,42.0
LKA,85.459142394822,15.174358895943403,78.58129719525351,12.766648599692585,4.566585956416465,3.445631427964275,0.6413043478260869,0.9415951533268216,LK,Sri Lanka,srilanka,Letter2Future,Letter2Future,NegativeEmotions,Control,20.0,55.0,4.0,60.0,43.0,19.0,31.0,12.0
LVA,68.47147302904564,30.40598629558625,62.16562920365887,21.383901264034222,4.408247422680413,3.2106379899160067,0.16584158415841585,0.648103099041505,LV,Latvia,latvia,FutureSelfCont,Letter2Future,SystemJust,DynamicNorm,63.0,1.0,62.0,3.0,48.0,53.0,63.0,55.0
MAR,79.77285513361463,22.141798147119896,74.5547033984534,18.351882113627646,4.2784810126582276,3.4900161155722067,0.7732997481108312,0.7722146021849834,MA,Morocco,morocco,Letter2Future,FutureSelfCont,Identity-Social-Norms-Intervention,Control,37.0,28.0,21.0,26.0,49.0,11.0,18.0,41.0
MEX,89.0326530612245,14.603771717131673,76.02745302883058,16.181683277873308,5.291836734693877,3.3808274984856777,0.9097560975609756,0.4372834080823366,MX,Mexico,mexico,FutureSelfCont,CollectAction,NegativeEmotions,DynamicNorm,6.0,57.0,15.0,49.0,18.0,30.0,3.0,61.0
MKD,84.30663615560641,20.38735560649714,71.91898301956442,16.56834887064026,3.826879271070615,3.3736664917745824,0.2773972602739726,0.8518801100756657,MK,North Macedonia,northmacedonia,BindingMoral,DynamicNorm,CollectAction,SciConsens,25.0,37.0,30.0,47.0,57.0,32.0,53.0,33.0
NGA,86.9762062128222,16.08921305518782,76.73366993804369,15.735397656191184,5.403833443489756,3.335937253379324,0.8560393258426966,0.5945182069884098,NG,Nigeria,nigeria,PsychDistance,Letter2Future,Letter2Future,FutureSelfCont,15.0,53.0,11.0,53.0,16.0,41.0,7.0,57.0
NLD,75.37122025407051,24.737920799741985,69.1134689099843,19.388006388554995,4.144849785407725,3.4006796199560596,0.1980495123780945,0.7180099257537622,NL,Netherlands,netherlands,DynamicNorm,Letter2Future,Letter2Future,Control,52.0,14.0,44.0,18.0,50.0,26.0,59.0,46.0
NOR,71.27794511378848,27.270498106445466,65.19179145200378,20.501650057872467,5.527582748244734,3.346233792909654,0.18392370572207084,0.6885858317500999,NO,Norway,norway,Letter2Future,Letter2Future,Control,BindingMoral,59.0,4.0,56.0,8.0,13.0,38.0,61.0,51.0
NZL,74.03706467661692,26.031858868245475,65.6528588028837,20.01773405223021,4.976119402985074,3.471200072869334,0.3732394366197183,0.9531269825479287,NZ,New Zealand,newzealand,PsychDistance,FutureSelfCont,SciConsens,SciConsens,56.0,6.0,54.0,11.0,29.0,13.0,42.0,10.0
PER,86.14469320066334,18.515275519758905,71.49488900823486,17.409632488931116,4.580246913580247,3.359131921436763,0.8044871794871795,0.7128624443975693,PE,Peru,peru,SystemJust,DynamicNorm,NegativeEmotions,Identity-Social-Norms-Intervention,18.0,43.0,34.0,32.0,41.0,35.0,12.0,48.0
PHL,95.31724137931035,8.387804016907742,77.32739463601533,16.604863367164555,5.779310344827586,3.127985164245423,0.6451612903225806,0.9383153522334069,PH,Philippines,philippines,Identity-Social-Norms-Intervention,CollectAction,BindingMoral,Control,1.0,63.0,10.0,46.0,6.0,56.0,29.0,15.0
POL,78.08141271873666,24.6445492382209,68.77308867253144,19.050489183665764,5.540920716112532,3.256914678712816,0.3524441762220881,0.9362319901317246,PL,Poland,poland,DynamicNorm,CollectAction,PsychDistance,SystemJust,41.0,15.0,46.0,20.0,12.0,47.0,45.0,17.0
PRT,92.40581162324649,11.815660609340704,75.3399378121322,12.983518670315163,4.55310621242485,3.219338742427624,0.35365853658536583,0.9372930661967527,PT,Portugal,portugal,PsychDistance,PsychDistance,NegativeEmotions,CollectAction,2.0,61.0,18.0,59.0,44.0,52.0,44.0,16.0
ROU,80.42092457420925,26.89686399567083,70.55153575319017,19.159835882154148,5.248175182481752,3.3599819001352134,0.178125,0.6759580167896567,RO,Romania,romania,SciConsens,SciConsens,Letter2Future,CollectAction,34.0,5.0,38.0,19.0,19.0,34.0,62.0,54.0
RUS,75.42578397212543,23.56752141286916,64.5566881789281,17.943787462458022,4.443902439024391,3.447376273398587,0.25705939629990265,0.8222764616002024,RU,Russian Federation,russia,NegativeEmotions,CollectAction,NegativeEmotions,SciConsens,51.0,23.0,58.0,28.0,46.0,18.0,56.0,37.0
SAU,69.76283367556468,25.3114954681909,62.72599124020286,21.169964094046016,5.605316973415133,3.2708430556683363,0.8131868131868132,0.6947570868163001,SA,Saudi Arabia,saudiarabia,DynamicNorm,Control,BindingMoral,DynamicNorm,61.0,12.0,61.0,5.0,8.0,44.0,11.0,50.0
SDN,76.9446227929374,18.183282863705813,74.00955398880157,15.570055430655408,3.868378812199037,3.5200863823532536,0.6689655172413793,0.9159798091406801,SD,Sudan,sudan,NegativeEmotions,NegativeEmotions,DynamicNorm,CollectAction,45.0,45.0,23.0,55.0,55.0,5.0,25.0,23.0
SGP,81.019,16.86733984084666,71.16746592913259,15.712626418412315,3.96,3.5810680105510952,0.6926713947990544,0.89006568754213,SG,Singapore,singapore,PsychDistance,SciConsens,Control,BindingMoral,33.0,51.0,35.0,54.0,53.0,2.0,23.0,29.0
SRB,86.31824925816024,21.828304259979905,75.10173684706326,16.459566800547655,5.9792284866468846,2.9695150515009785,0.24427480916030533,0.8020771588818674,RS,Serbia,serbia,DynamicNorm,FutureSelfCont,Identity-Social-Norms-Intervention,CollectAction,17.0,32.0,20.0,48.0,3.0,62.0,57.0,38.0
SVK,75.06951219512194,25.346131395440572,63.33885192966075,18.749902091594713,6.0837390457643625,3.102975752488324,0.30303030303030304,0.8849636363831528,SK,Slovakia,slovakia,Control,CollectAction,NegativeEmotions,Letter2Future,53.0,11.0,59.0,23.0,1.0,57.0,52.0,30.0
SVN,75.70758483033931,23.197625360266713,68.52421832582799,17.234026979946808,3.5548902195608783,3.3733486386562754,0.5339233038348082,0.9966769682276642,SI,Slovenia,slovenia,PsychDistance,BindingMoral,PluralIgnorance,Control,49.0,24.0,47.0,38.0,59.0,33.0,37.0,4.0
SWE,73.91778149386846,25.429995303735595,64.71110173860069,20.483247486187526,4.143334726284998,3.542847863227405,0.5271317829457365,0.997874923668532,SE,Sweden,sweden,PsychDistance,PsychDistance,DynamicNorm,SciConsens,57.0,10.0,57.0,9.0,51.0,4.0,38.0,3.0
THA,77.19789842381786,23.617400382742954,71.80985699985699,21.85521518539644,5.587030716723549,3.256042754041919,0.7990543735224587,0.7238153211221177,TH,Thailand,thailand,SystemJust,CollectAction,DynamicNorm,CollectAction,42.0,21.0,31.0,2.0,11.0,48.0,15.0,44.0
TUR,89.07765957446809,16.890646603017796,81.03403848755411,16.854157566566066,5.213881019830028,3.342972721762437,0.48141263940520446,0.9990028969224962,TR,Türkiye,turkey,DynamicNorm,BindingMoral,NegativeEmotions,SciConsens,5.0,50.0,1.0,43.0,21.0,39.0,40.0,2.0
TWN,79.88349514563107,10.485432143529504,78.5183387270766,9.034738032663178,1.1213592233009708,2.2738878486807415,0.875,0.5435644431995964,TW,"Taiwan, Province of China",taiwan,BindingMoral,Identity-Social-Norms-Intervention,DynamicNorm,FutureSelfCont,35.0,62.0,5.0,63.0,63.0,63.0,6.0,58.0
TZA,87.78398058252426,17.76863315496433,72.55974945533768,19.580733351950432,4.0576923076923075,3.401390130083233,0.8202247191011236,0.6795851972782937,TZ,"Tanzania, United Republic of",tanzania,DynamicNorm,SystemJust,BindingMoral,DynamicNorm,10.0,46.0,28.0,15.0,52.0,25.0,9.0,53.0
UGA,89.19245614035087,13.826242774753194,80.49872598162072,17.75031160634051,4.945378151260504,3.244616539481904,0.9173228346456693,0.41154280652491665,UG,Uganda,uganda,PsychDistance,DynamicNorm,DynamicNorm,CollectAction,4.0,58.0,2.0,30.0,31.0,50.0,2.0,62.0
UKR,82.03125,21.799645100669682,76.69420955587621,15.124172852847474,4.637096774193548,3.2581451683573865,0.32908163265306123,0.9139853284685877,UA,Ukraine,ukraine,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,30.0,33.0,13.0,58.0,36.0,45.0,48.0,24.0
URY,87.55583501006036,17.238309098094085,76.72593101343101,15.240030893064755,5.0,3.398291790999443,0.6769662921348315,0.9076500436348699,UY,Uruguay,uruguay,FutureSelfCont,FutureSelfCont,NegativeEmotions,FutureSelfCont,13.0,49.0,12.0,57.0,27.0,27.0,24.0,27.0
USA,70.621960855823,29.677161058912255,65.4496518290167,24.126171374002265,4.785774869744335,3.5187547160238357,0.6046963562753036,0.9681370233515587,US,United States,usa,PsychDistance,Letter2Future,Letter2Future,DynamicNorm,60.0,2.0,55.0,1.0,34.0,6.0,33.0,9.0
VEN,84.20681818181818,25.277516097480422,77.40123737373737,19.967944820880067,5.9,3.0196603490878258,0.6666666666666666,0.9182958340544896,VE,"Venezuela, Bolivarian Republic of",venezuela,BindingMoral,FutureSelfCont,Letter2Future,SystemJust,26.0,13.0,9.0,13.0,4.0,61.0,26.0,22.0
VNM,87.71018276762402,16.250127288040037,75.955019106408,17.121253634272293,4.597911227154047,3.382306258399229,0.8006042296072508,0.720717988432424,VN,Viet Nam,vietnam,FutureSelfCont,FutureSelfCont,CollectAction,Control,11.0,52.0,16.0,39.0,39.0,29.0,14.0,45.0
ZAF,84.51159274193549,20.545772788538518,72.849169546851,18.27809573498585,4.772177419354839,3.506201158290576,0.770935960591133,0.7763761424980914,ZA,South Africa,southafrica,CollectAction,CollectAction,CollectAction,SciConsens,24.0,35.0,27.0,27.0,35.0,9.0,19.0,40.0
