age,gender,education,income,perc_ses,sp_ideology,econ_ideology,country,country_code,intervention,belief_cc,policy_support,share_social_media,wept
20,female,0 to 6,15K to 25K,40-50%,43,59,Algeria,DZA,control,42,45,0,3
42,male,13 to 16,25K to 50K,40-50%,69,51,Algeria,DZA,control,36,49,0,3
66,male,13 to 16,10K to 15K,70-80%,70,69,Algeria,DZA,control,28,52,0,2
47,female,13 to 16,15K to 25K,60-70%,35,53,Algeria,DZA,control,39,60,0,3
66,male,7 to 12,50K to 100K,30-40%,46,39,Algeria,DZA,control,30,47,0,3
38,female,13 to 16,15K to 25K,50-60%,52,19,Algeria,DZA,control,43,51,0,3
49,female,7 to 12,10K to 15K,70-80%,58,53,Algeria,DZA,control,37,44,0,3
18,male,0 to 6,15K to 25K,40-50%,39,41,Algeria,DZA,control,40,44,0,3
46,male,7 to 12,50K to 100K,40-50%,65,31,Algeria,DZA,control,37,59,0,3
22,male,0 to 6,100K to 150K,40-50%,44,26,Algeria,DZA,control,34,35,0,3
55,male,7 to 12,10K to 15K,60-70%,44,30,Algeria,DZA,control,27,40,0,3
67,male,17 or more,10K to 15K,40-50%,37,48,Algeria,DZA,control,41,55,0,2
43,male,13 to 16,15K to 25K,40-50%,41,63,Algeria,DZA,control,39,51,0,3
65,nonbinary or other,13 to 16,50K to 100K,50-60%,52,58,Algeria,DZA,control,54,56,0,4
40,female,13 to 16,10K to 15K,30-40%,75,21,Algeria,DZA,control,45,47,0,3
33,male,13 to 16,15K to 25K,0-10%,61,53,Algeria,DZA,control,37,52,0,3
30,female,0 to 6,15K to 25K,40-50%,70,48,Algeria,DZA,control,42,50,0,3
50,female,13 to 16,50K to 100K,70-80%,69,69,Algeria,DZA,control,41,48,0,3
40,female,13 to 16,15K to 25K,10-20%,51,58,Algeria,DZA,control,46,47,0,2
41,female,17 or more,10K to 15K,20-30%,54,65,Algeria,DZA,control,30,49,0,3
22,female,13 to 16,10K to 15K,30-40%,56,43,Algeria,DZA,control,35,49,0,3
31,female,7 to 12,10K to 15K,60-70%,46,64,Algeria,DZA,control,48,50,0,3
51,female,13 to 16,50K to 100K,20-30%,47,21,Algeria,DZA,control,36,58,1,4
65,female,7 to 12,25K to 50K,60-70%,57,47,Algeria,DZA,control,28,52,0,3
30,female,13 to 16,25K to 50K,80-90%,30,23,Algeria,DZA,control,47,49,0,3
58,male,7 to 12,10K to 15K,40-50%,56,38,Algeria,DZA,control,33,52,0,1
44,male,7 to 12,25K to 50K,80-90%,57,15,Algeria,DZA,control,40,49,0,2
18,female,7 to 12,50K to 100K,30-40%,70,43,Algeria,DZA,control,28,48,0,3
43,male,13 to 16,25K to 50K,20-30%,56,70,Algeria,DZA,control,39,45,0,2
51,male,0 to 6,100K to 150K,10-20%,44,55,Algeria,DZA,control,38,44,0,2
45,female,7 to 12,100K to 150K,10-20%,49,51,Algeria,DZA,control,37,44,0,4
57,male,13 to 16,25K to 50K,0-10%,85,34,Algeria,DZA,control,33,38,0,3
42,nonbinary or other,0 to 6,more than 200K,0-10%,42,28,Algeria,DZA,control,49,47,0,2
39,female,0 to 6,15K to 25K,40-50%,55,66,Algeria,DZA,control,31,40,0,2
40,female,0 to 6,100K to 150K,40-50%,45,34,Algeria,DZA,control,40,52,0,3
36,male,0 to 6,50K to 100K,40-50%,31,56,Algeria,DZA,control,39,57,0,3
61,male,0 to 6,15K to 25K,70-80%,55,36,Algeria,DZA,control,28,43,0,2
54,male,13 to 16,100K to 150K,40-50%,42,54,Algeria,DZA,control,35,44,0,3
30,male,7 to 12,25K to 50K,40-50%,40,36,Algeria,DZA,control,33,50,0,3
54,male,13 to 16,50K to 100K,20-30%,39,55,Algeria,DZA,control,35,52,0,4
54,male,13 to 16,15K to 25K,50-60%,34,43,Algeria,DZA,control,31,49,0,2
18,female,0 to 6,10K to 15K,70-80%,70,42,Algeria,DZA,control,46,56,0,4
40,male,13 to 16,less than 10K,20-30%,33,75,Algeria,DZA,control,25,38,0,3
31,female,0 to 6,25K to 50K,50-60%,28,57,Algeria,DZA,control,46,48,0,3
27,male,13 to 16,25K to 50K,40-50%,57,58,Algeria,DZA,control,38,54,0,2
24,male,0 to 6,25K to 50K,10-20%,29,57,Algeria,DZA,control,38,47,0,2
60,male,13 to 16,50K to 100K,90-100%,65,62,Algeria,DZA,control,39,46,0,2
41,female,13 to 16,less than 10K,10-20%,48,26,Algeria,DZA,control,50,41,0,3
68,male,13 to 16,15K to 25K,60-70%,66,52,Algeria,DZA,control,31,47,0,2
28,male,7 to 12,10K to 15K,40-50%,39,24,Algeria,DZA,control,33,45,0,2
45,female,0 to 6,10K to 15K,20-30%,69,80,Algeria,DZA,control,32,39,0,3
63,male,7 to 12,25K to 50K,10-20%,60,43,Algeria,DZA,control,30,45,0,1
26,male,13 to 16,100K to 150K,80-90%,62,79,Algeria,DZA,control,50,62,0,4
39,female,7 to 12,50K to 100K,0-10%,64,56,Algeria,DZA,psychological_distance,45,53,0,3
35,male,7 to 12,25K to 50K,10-20%,51,35,Algeria,DZA,psychological_distance,43,51,0,3
52,male,0 to 6,50K to 100K,30-40%,13,50,Algeria,DZA,psychological_distance,51,46,0,3
48,male,13 to 16,15K to 25K,50-60%,45,44,Algeria,DZA,psychological_distance,54,50,0,2
22,male,13 to 16,100K to 150K,80-90%,63,75,Algeria,DZA,psychological_distance,51,54,0,4
61,male,13 to 16,10K to 15K,30-40%,47,43,Algeria,DZA,psychological_distance,54,52,0,3
59,male,7 to 12,10K to 15K,50-60%,70,42,Algeria,DZA,psychological_distance,40,46,0,3
21,female,0 to 6,25K to 50K,10-20%,53,61,Algeria,DZA,psychological_distance,41,53,0,3
56,male,7 to 12,50K to 100K,30-40%,36,33,Algeria,DZA,psychological_distance,45,61,0,4
65,nonbinary or other,7 to 12,50K to 100K,50-60%,60,46,Algeria,DZA,psychological_distance,48,57,0,4
49,female,13 to 16,100K to 150K,0-10%,48,36,Algeria,DZA,psychological_distance,49,65,0,4
67,female,7 to 12,150K to 200K,70-80%,56,67,Algeria,DZA,psychological_distance,46,49,0,3
38,male,13 to 16,25K to 50K,0-10%,49,63,Algeria,DZA,psychological_distance,36,53,0,3
44,male,13 to 16,15K to 25K,60-70%,28,28,Algeria,DZA,psychological_distance,51,63,0,2
39,male,7 to 12,10K to 15K,50-60%,75,43,Algeria,DZA,psychological_distance,44,52,0,2
53,nonbinary or other,0 to 6,100K to 150K,30-40%,60,76,Algeria,DZA,psychological_distance,50,60,0,3
52,male,0 to 6,100K to 150K,0-10%,25,83,Algeria,DZA,psychological_distance,43,51,0,3
55,female,13 to 16,50K to 100K,30-40%,53,48,Algeria,DZA,psychological_distance,51,57,1,4
56,male,7 to 12,150K to 200K,40-50%,49,51,Algeria,DZA,psychological_distance,43,51,0,2
43,male,0 to 6,10K to 15K,50-60%,35,61,Algeria,DZA,psychological_distance,36,50,0,3
54,female,13 to 16,10K to 15K,50-60%,60,19,Algeria,DZA,psychological_distance,55,53,1,3
19,male,13 to 16,10K to 15K,30-40%,36,64,Algeria,DZA,psychological_distance,46,52,0,4
28,female,13 to 16,15K to 25K,50-60%,44,60,Algeria,DZA,psychological_distance,57,62,0,4
30,male,13 to 16,25K to 50K,30-40%,80,47,Algeria,DZA,psychological_distance,51,51,0,3
68,male,13 to 16,50K to 100K,30-40%,53,71,Algeria,DZA,psychological_distance,42,52,0,2
28,male,0 to 6,15K to 25K,40-50%,54,59,Algeria,DZA,psychological_distance,50,57,0,3
20,female,0 to 6,25K to 50K,40-50%,87,40,Algeria,DZA,psychological_distance,51,58,0,4
37,male,13 to 16,50K to 100K,50-60%,70,49,Algeria,DZA,psychological_distance,46,54,0,4
58,male,7 to 12,15K to 25K,30-40%,22,68,Algeria,DZA,psychological_distance,39,54,0,4
31,male,13 to 16,15K to 25K,20-30%,44,42,Algeria,DZA,psychological_distance,48,56,0,4
48,male,7 to 12,10K to 15K,40-50%,59,27,Algeria,DZA,psychological_distance,46,57,0,3
40,female,0 to 6,150K to 200K,30-40%,47,62,Algeria,DZA,psychological_distance,44,60,0,3
23,male,7 to 12,25K to 50K,60-70%,56,36,Algeria,DZA,psychological_distance,42,67,0,4
58,female,13 to 16,100K to 150K,60-70%,55,30,Algeria,DZA,psychological_distance,46,57,1,4
51,female,13 to 16,10K to 15K,10-20%,66,40,Algeria,DZA,psychological_distance,42,55,0,3
68,female,13 to 16,15K to 25K,40-50%,64,24,Algeria,DZA,psychological_distance,41,52,0,4
39,male,0 to 6,25K to 50K,60-70%,49,54,Algeria,DZA,psychological_distance,44,57,0,3
20,female,7 to 12,50K to 100K,20-30%,58,53,Algeria,DZA,psychological_distance,46,53,0,5
19,male,7 to 12,50K to 100K,30-40%,49,47,Algeria,DZA,psychological_distance,43,52,0,4
19,nonbinary or other,7 to 12,10K to 15K,50-60%,61,37,Algeria,DZA,psychological_distance,54,58,0,3
33,female,0 to 6,100K to 150K,60-70%,49,50,Algeria,DZA,psychological_distance,43,62,0,3
53,nonbinary or other,7 to 12,less than 10K,30-40%,31,41,Algeria,DZA,psychological_distance,49,58,0,4
48,female,0 to 6,more than 200K,50-60%,54,35,Algeria,DZA,psychological_distance,46,42,0,5
57,male,13 to 16,100K to 150K,40-50%,50,43,Algeria,DZA,psychological_distance,38,58,0,3
49,female,0 to 6,more than 200K,30-40%,32,47,Algeria,DZA,psychological_distance,38,45,0,3
42,male,13 to 16,15K to 25K,30-40%,37,81,Algeria,DZA,psychological_distance,43,63,0,2
35,female,0 to 6,100K to 150K,20-30%,37,44,Algeria,DZA,psychological_distance,38,61,0,3
52,female,7 to 12,25K to 50K,0-10%,55,59,Algeria,DZA,psychological_distance,35,48,0,3
54,female,7 to 12,15K to 25K,90-100%,51,61,Algeria,DZA,psychological_distance,50,48,0,3
58,male,13 to 16,15K to 25K,20-30%,37,71,Algeria,DZA,psychological_distance,36,55,0,2
56,female,0 to 6,100K to 150K,80-90%,20,31,Algeria,DZA,psychological_distance,65,61,0,4
59,female,13 to 16,15K to 25K,30-40%,54,33,Algeria,DZA,psychological_distance,47,56,0,3
32,female,7 to 12,15K to 25K,90-100%,82,58,Algeria,DZA,psychological_distance,44,53,0,3
58,male,13 to 16,25K to 50K,60-70%,58,61,Algeria,DZA,psychological_distance,44,54,0,4
69,female,0 to 6,15K to 25K,20-30%,65,34,Algeria,DZA,psychological_distance,45,43,0,4
29,male,13 to 16,100K to 150K,90-100%,12,68,Algeria,DZA,psychological_distance,38,51,0,5
67,female,7 to 12,15K to 25K,50-60%,46,46,Algeria,DZA,psychological_distance,44,44,0,3
67,male,13 to 16,10K to 15K,40-50%,61,52,Algeria,DZA,psychological_distance,42,52,0,2
54,female,7 to 12,15K to 25K,40-50%,35,42,Algeria,DZA,psychological_distance,44,52,0,3
61,male,17 or more,150K to 200K,30-40%,70,74,Algeria,DZA,psychological_distance,38,52,0,3
46,male,0 to 6,25K to 50K,30-40%,42,83,Algeria,DZA,psychological_distance,36,53,0,2
61,male,7 to 12,25K to 50K,20-30%,28,34,Algeria,DZA,psychological_distance,47,51,0,3
36,female,7 to 12,15K to 25K,20-30%,78,61,Algeria,DZA,psychological_distance,43,53,0,4
65,female,7 to 12,10K to 15K,20-30%,59,30,Algeria,DZA,psychological_distance,43,57,0,3
45,male,7 to 12,25K to 50K,20-30%,45,63,Algeria,DZA,psychological_distance,42,52,0,2
22,male,7 to 12,100K to 150K,0-10%,48,40,Algeria,DZA,psychological_distance,38,51,0,4
25,female,13 to 16,10K to 15K,20-30%,58,49,Algeria,DZA,psychological_distance,49,57,0,4
18,female,7 to 12,less than 10K,80-90%,55,58,Algeria,DZA,psychological_distance,53,50,1,5
62,male,7 to 12,25K to 50K,30-40%,58,55,Algeria,DZA,psychological_distance,31,41,0,2
23,female,0 to 6,less than 10K,70-80%,53,48,Algeria,DZA,psychological_distance,43,47,0,4
53,female,13 to 16,50K to 100K,60-70%,40,30,Algeria,DZA,psychological_distance,43,57,1,2
50,female,0 to 6,10K to 15K,30-40%,54,43,Algeria,DZA,psychological_distance,41,44,0,3
40,male,13 to 16,50K to 100K,10-20%,26,53,Algeria,DZA,psychological_distance,53,52,0,3
56,female,13 to 16,15K to 25K,40-50%,59,46,Algeria,DZA,psychological_distance,40,53,0,3
57,male,7 to 12,less than 10K,30-40%,57,58,Algeria,DZA,psychological_distance,28,55,0,3
19,female,0 to 6,25K to 50K,70-80%,70,40,Algeria,DZA,psychological_distance,45,61,0,4
69,female,7 to 12,150K to 200K,70-80%,76,62,Algeria,DZA,psychological_distance,48,50,0,3
22,male,0 to 6,100K to 150K,60-70%,23,50,Algeria,DZA,psychological_distance,46,65,0,4
68,female,7 to 12,10K to 15K,50-60%,58,74,Algeria,DZA,psychological_distance,48,50,0,3
21,male,0 to 6,50K to 100K,10-20%,83,64,Algeria,DZA,psychological_distance,45,55,0,4
18,male,7 to 12,50K to 100K,70-80%,42,32,Algeria,DZA,psychological_distance,53,66,0,4
37,female,7 to 12,10K to 15K,60-70%,68,33,Algeria,DZA,psychological_distance,54,62,0,3
19,male,17 or more,15K to 25K,30-40%,41,66,Algeria,DZA,psychological_distance,42,57,0,4
67,male,7 to 12,50K to 100K,30-40%,51,54,Algeria,DZA,psychological_distance,46,45,0,4
28,nonbinary or other,7 to 12,100K to 150K,70-80%,52,26,Algeria,DZA,psychological_distance,56,62,0,4
26,female,7 to 12,25K to 50K,70-80%,72,49,Algeria,DZA,psychological_distance,43,60,1,3
42,male,7 to 12,15K to 25K,80-90%,33,32,Algeria,DZA,psychological_distance,49,57,0,4
59,female,13 to 16,less than 10K,40-50%,71,61,Algeria,DZA,psychological_distance,41,68,0,2
27,male,13 to 16,15K to 25K,10-20%,38,48,Algeria,DZA,psychological_distance,52,57,0,3
35,female,0 to 6,15K to 25K,20-30%,70,64,Algeria,DZA,psychological_distance,34,49,0,3
53,female,13 to 16,15K to 25K,0-10%,56,75,Algeria,DZA,psychological_distance,43,54,0,4
55,female,7 to 12,15K to 25K,30-40%,46,53,Algeria,DZA,psychological_distance,46,55,0,3
56,male,13 to 16,50K to 100K,30-40%,36,66,Algeria,DZA,psychological_distance,38,52,0,3
43,male,7 to 12,25K to 50K,30-40%,66,54,Algeria,DZA,letter_future_gen,36,44,0,3
55,male,7 to 12,10K to 15K,0-10%,63,56,Algeria,DZA,letter_future_gen,27,38,0,3
45,female,7 to 12,25K to 50K,30-40%,25,40,Algeria,DZA,letter_future_gen,42,48,0,4
65,female,0 to 6,25K to 50K,50-60%,43,33,Algeria,DZA,letter_future_gen,49,44,0,3
21,female,7 to 12,50K to 100K,20-30%,42,53,Algeria,DZA,letter_future_gen,56,52,0,4
53,nonbinary or other,13 to 16,25K to 50K,30-40%,75,49,Algeria,DZA,letter_future_gen,45,55,0,4
29,nonbinary or other,7 to 12,25K to 50K,20-30%,22,65,Algeria,DZA,letter_future_gen,47,51,0,6
62,female,0 to 6,less than 10K,10-20%,61,57,Algeria,DZA,letter_future_gen,28,48,0,3
59,male,13 to 16,15K to 25K,20-30%,51,36,Algeria,DZA,letter_future_gen,36,50,0,2
30,male,13 to 16,50K to 100K,30-40%,17,37,Algeria,DZA,letter_future_gen,50,52,1,4
37,nonbinary or other,13 to 16,50K to 100K,50-60%,48,70,Algeria,DZA,letter_future_gen,52,58,1,5
64,female,0 to 6,25K to 50K,50-60%,66,49,Algeria,DZA,letter_future_gen,48,45,0,3
40,male,0 to 6,15K to 25K,50-60%,71,26,Algeria,DZA,letter_future_gen,38,46,0,3
46,female,0 to 6,25K to 50K,30-40%,60,56,Algeria,DZA,letter_future_gen,47,52,0,4
26,male,7 to 12,25K to 50K,0-10%,57,42,Algeria,DZA,letter_future_gen,38,47,0,4
58,male,7 to 12,150K to 200K,40-50%,47,24,Algeria,DZA,letter_future_gen,33,39,0,4
64,female,0 to 6,15K to 25K,50-60%,56,38,Algeria,DZA,letter_future_gen,32,46,0,4
19,female,7 to 12,15K to 25K,10-20%,56,87,Algeria,DZA,letter_future_gen,38,47,0,2
39,female,7 to 12,15K to 25K,40-50%,57,46,Algeria,DZA,letter_future_gen,46,52,0,3
48,female,7 to 12,less than 10K,10-20%,77,29,Algeria,DZA,letter_future_gen,27,48,0,3
66,male,0 to 6,15K to 25K,70-80%,44,43,Algeria,DZA,letter_future_gen,39,42,0,3
26,nonbinary or other,7 to 12,25K to 50K,70-80%,39,26,Algeria,DZA,letter_future_gen,53,54,1,4
49,female,13 to 16,less than 10K,60-70%,50,39,Algeria,DZA,letter_future_gen,53,48,0,4
25,male,7 to 12,50K to 100K,30-40%,54,44,Algeria,DZA,letter_future_gen,45,53,0,4
32,male,0 to 6,25K to 50K,90-100%,66,54,Algeria,DZA,letter_future_gen,39,46,0,4
44,female,7 to 12,50K to 100K,10-20%,53,41,Algeria,DZA,letter_future_gen,44,49,0,3
51,male,13 to 16,less than 10K,30-40%,61,51,Algeria,DZA,letter_future_gen,41,52,0,2
35,female,13 to 16,10K to 15K,60-70%,71,59,Algeria,DZA,letter_future_gen,50,44,0,4
25,male,7 to 12,15K to 25K,0-10%,48,64,Algeria,DZA,letter_future_gen,39,45,0,3
60,male,0 to 6,50K to 100K,70-80%,47,44,Algeria,DZA,letter_future_gen,46,48,0,3
51,male,0 to 6,10K to 15K,30-40%,54,48,Algeria,DZA,letter_future_gen,37,41,0,3
28,male,0 to 6,25K to 50K,20-30%,41,36,Algeria,DZA,letter_future_gen,39,45,0,4
20,male,7 to 12,15K to 25K,20-30%,48,30,Algeria,DZA,letter_future_gen,41,47,1,3
29,female,7 to 12,100K to 150K,20-30%,24,68,Algeria,DZA,letter_future_gen,52,49,0,4
38,female,7 to 12,50K to 100K,70-80%,27,47,Algeria,DZA,letter_future_gen,35,55,1,4
67,male,7 to 12,15K to 25K,50-60%,41,49,Algeria,DZA,letter_future_gen,35,49,0,3
26,male,13 to 16,150K to 200K,30-40%,40,49,Algeria,DZA,letter_future_gen,41,39,0,4
44,female,7 to 12,10K to 15K,70-80%,19,49,Algeria,DZA,letter_future_gen,40,46,0,4
30,female,7 to 12,less than 10K,20-30%,50,58,Algeria,DZA,letter_future_gen,50,49,0,4
45,male,7 to 12,15K to 25K,60-70%,46,46,Algeria,DZA,letter_future_gen,49,51,0,3
58,nonbinary or other,13 to 16,25K to 50K,0-10%,27,0,Algeria,DZA,letter_future_gen,49,53,0,2
21,male,7 to 12,100K to 150K,30-40%,69,59,Algeria,DZA,letter_future_gen,36,47,0,3
38,male,7 to 12,25K to 50K,50-60%,61,33,Algeria,DZA,letter_future_gen,45,46,0,4
32,male,7 to 12,25K to 50K,40-50%,43,53,Algeria,DZA,letter_future_gen,58,48,0,2
56,female,7 to 12,15K to 25K,60-70%,36,52,Algeria,DZA,letter_future_gen,37,41,0,3
54,male,13 to 16,10K to 15K,10-20%,46,31,Algeria,DZA,letter_future_gen,42,57,0,3
67,female,13 to 16,25K to 50K,90-100%,56,42,Algeria,DZA,letter_future_gen,43,44,0,3
51,male,0 to 6,15K to 25K,60-70%,34,42,Algeria,DZA,letter_future_gen,44,34,0,3
55,male,0 to 6,15K to 25K,50-60%,66,56,Algeria,DZA,letter_future_gen,41,44,0,4
67,male,7 to 12,less than 10K,30-40%,29,69,Algeria,DZA,letter_future_gen,42,42,0,2
52,female,13 to 16,less than 10K,50-60%,49,58,Algeria,DZA,letter_future_gen,46,44,0,4
19,female,17 or more,10K to 15K,20-30%,30,60,Algeria,DZA,letter_future_gen,53,54,1,4
19,female,13 to 16,150K to 200K,60-70%,65,40,Algeria,DZA,letter_future_gen,55,53,0,4
52,female,0 to 6,15K to 25K,10-20%,23,33,Algeria,DZA,letter_future_gen,33,43,0,3
59,female,13 to 16,50K to 100K,30-40%,45,60,Algeria,DZA,letter_future_gen,44,53,0,4
46,female,7 to 12,10K to 15K,50-60%,43,56,Algeria,DZA,letter_future_gen,51,47,0,3
27,female,7 to 12,15K to 25K,10-20%,70,34,Algeria,DZA,letter_future_gen,41,39,0,3
27,male,13 to 16,less than 10K,60-70%,38,59,Algeria,DZA,letter_future_gen,40,45,0,3
61,female,13 to 16,less than 10K,40-50%,37,38,Algeria,DZA,letter_future_gen,49,57,0,3
32,male,7 to 12,25K to 50K,30-40%,68,72,Algeria,DZA,letter_future_gen,34,49,0,4
45,male,0 to 6,25K to 50K,60-70%,59,12,Algeria,DZA,letter_future_gen,39,39,0,3
58,female,7 to 12,25K to 50K,20-30%,52,43,Algeria,DZA,letter_future_gen,39,38,0,4
49,female,7 to 12,150K to 200K,40-50%,38,63,Algeria,DZA,letter_future_gen,46,54,0,4
40,nonbinary or other,13 to 16,15K to 25K,50-60%,74,55,Algeria,DZA,letter_future_gen,55,46,1,4
56,male,0 to 6,25K to 50K,70-80%,27,60,Algeria,DZA,letter_future_gen,46,42,0,4
33,female,7 to 12,25K to 50K,50-60%,47,26,Algeria,DZA,letter_future_gen,58,38,0,5
30,female,13 to 16,25K to 50K,50-60%,29,43,Algeria,DZA,letter_future_gen,56,51,0,4
62,female,0 to 6,10K to 15K,20-30%,52,52,Algeria,DZA,letter_future_gen,32,40,0,2
50,nonbinary or other,7 to 12,25K to 50K,40-50%,44,31,Algeria,DZA,letter_future_gen,46,53,0,5
64,male,7 to 12,150K to 200K,40-50%,59,52,Algeria,DZA,letter_future_gen,53,43,0,2
38,female,13 to 16,100K to 150K,10-20%,60,47,Algeria,DZA,letter_future_gen,55,52,0,5
21,male,7 to 12,100K to 150K,40-50%,53,58,Algeria,DZA,letter_future_gen,48,52,0,4
63,male,0 to 6,50K to 100K,40-50%,43,60,Algeria,DZA,letter_future_gen,44,47,0,3
66,female,0 to 6,50K to 100K,30-40%,69,35,Algeria,DZA,letter_future_gen,42,53,0,4
18,female,7 to 12,10K to 15K,30-40%,67,35,Algeria,DZA,letter_future_gen,40,55,0,3
49,female,13 to 16,25K to 50K,0-10%,40,44,Algeria,DZA,letter_future_gen,49,45,1,4
31,nonbinary or other,7 to 12,15K to 25K,20-30%,46,43,Algeria,DZA,letter_future_gen,52,59,1,3
29,male,0 to 6,25K to 50K,90-100%,44,59,Algeria,DZA,letter_future_gen,46,43,0,4
34,female,7 to 12,15K to 25K,90-100%,30,50,Algeria,DZA,letter_future_gen,49,48,0,3
30,female,13 to 16,50K to 100K,40-50%,89,37,Algeria,DZA,letter_future_gen,47,49,1,3
60,female,0 to 6,100K to 150K,80-90%,31,72,Algeria,DZA,letter_future_gen,53,56,0,4
66,male,0 to 6,100K to 150K,20-30%,39,39,Algeria,DZA,letter_future_gen,35,54,0,3
39,female,0 to 6,10K to 15K,40-50%,49,29,Algeria,DZA,letter_future_gen,41,49,0,3
38,female,0 to 6,less than 10K,60-70%,42,55,Algeria,DZA,letter_future_gen,29,49,0,3
43,male,7 to 12,15K to 25K,50-60%,51,19,Algeria,DZA,letter_future_gen,37,54,0,3
53,female,0 to 6,10K to 15K,10-20%,62,60,Algeria,DZA,letter_future_gen,38,41,0,3
24,female,13 to 16,less than 10K,30-40%,58,69,Algeria,DZA,letter_future_gen,53,44,0,4
55,male,7 to 12,50K to 100K,30-40%,54,57,Algeria,DZA,letter_future_gen,34,46,0,3
58,male,0 to 6,50K to 100K,30-40%,17,44,Algeria,DZA,letter_future_gen,45,59,0,3
50,female,7 to 12,15K to 25K,40-50%,56,66,Algeria,DZA,letter_future_gen,48,50,0,4
33,male,0 to 6,10K to 15K,60-70%,36,59,Algeria,DZA,letter_future_gen,41,47,0,2
56,female,0 to 6,15K to 25K,0-10%,47,19,Algeria,DZA,letter_future_gen,38,41,0,3
49,female,7 to 12,25K to 50K,20-30%,53,44,Algeria,DZA,letter_future_gen,51,51,0,3
35,male,7 to 12,25K to 50K,10-20%,29,18,Algeria,DZA,letter_future_gen,45,43,0,4
47,male,7 to 12,15K to 25K,50-60%,72,64,Algeria,DZA,letter_future_gen,48,55,0,3
33,female,0 to 6,50K to 100K,50-60%,46,49,Algeria,DZA,letter_future_gen,44,49,1,5
38,female,13 to 16,10K to 15K,60-70%,90,61,Algeria,DZA,letter_future_gen,44,55,0,4
56,female,7 to 12,25K to 50K,80-90%,33,44,Algeria,DZA,letter_future_gen,48,53,0,3
48,male,7 to 12,15K to 25K,40-50%,42,74,Algeria,DZA,letter_future_gen,47,42,0,4
